設備型號,資產編號,採購日期,商轉日期,區位坐標,備援設備,運行狀態,備註
Win-170-001,Lont-101-001,2022/10/25,2023/6/30,維度：32.45|經度：123.32,,運行中,
Win-170-001,Lont-101-002,2022/10/25,2023/6/30,維度：32.45|經度：123.33,,運行中,
Win-170-001,Lont-101-003,2022/10/25,2023/6/30,維度：32.45|經度：123.34,,運行中,
Win-170-001,Lont-101-004,2022/10/25,2023/6/30,維度：32.45|經度：123.35,,運行中,
Win-170-001,Lont-101-005,2022/10/25,2023/6/30,維度：32.45|經度：123.36,,運行中,test
Win-170-001,Lont-101-006,2022/10/25,2023/6/30,維度：32.45|經度：123.37,,運行中,test
Win-170-001,Lont-101-007,2022/10/25,2023/6/30,維度：32.45|經度：123.38,,運行中,
Win-170-001,Lont-101-008,2022/10/25,2023/6/30,維度：32.45|經度：123.39,,運行中,
Win-170-001,Lont-101-009,2022/10/25,2023/6/30,維度：32.45|經度：123.40,,運行中,
Win-170-001,Lont-101-010,2022/10/25,2023/6/30,維度：32.45|經度：123.41,,運行中,
Win-170-001,Lont-101-011,2022/10/25,2023/6/30,維度：32.45|經度：123.42,,運行中,
Win-170-001,Lont-101-012,2022/10/25,2023/6/30,維度：32.45|經度：123.43,,運行中,
Win-170-001,Lont-101-013,2022/10/25,2023/6/30,維度：32.45|經度：123.44,,運行中,
Win-170-001,Lont-101-014,2022/10/25,2023/6/30,維度：32.45|經度：123.45,,運行中,
Win-170-001,Lont-101-015,2022/10/25,2023/6/30,維度：32.45|經度：123.46,,運行中,
Win-170-001,Lont-101-016,2022/10/25,2023/6/30,維度：32.45|經度：123.47,,運行中,
Win-170-001,Lont-101-017,2022/10/25,2023/6/30,維度：32.45|經度：123.48,,運行中,
Win-170-001,Lont-101-018,2022/10/25,2023/6/30,維度：32.45|經度：123.49,,運行中,
Win-170-001,Lont-101-019,2022/10/25,2023/6/30,維度：32.45|經度：123.50,,運行中,
Win-170-001,Lont-101-020,2022/10/25,2023/6/30,維度：32.45|經度：123.51,,運行中,
Win-170-001,Lont-101-021,2022/10/25,2023/6/30,維度：32.45|經度：123.52,,運行中,
Win-170-001,Lont-101-022,2022/10/25,2023/6/30,維度：32.45|經度：123.53,,運行中,
Win-170-001,Lont-101-023,2022/10/25,2023/6/30,維度：32.45|經度：123.54,,運行中,
Win-170-001,Lont-101-024,2022/10/25,2023/6/30,維度：32.45|經度：123.55,,運行中,
Win-170-001,Lont-101-025,2022/10/25,2023/6/30,維度：32.45|經度：123.56,,運行中,
Win-170-001,Lont-101-026,2022/10/25,2023/6/30,維度：32.45|經度：123.57,,運行中,
Win-170-001,Lont-101-027,2022/10/25,2023/6/30,維度：32.45|經度：123.58,,運行中,
Win-170-001,Lont-101-028,2022/10/25,2023/6/30,維度：32.45|經度：123.59,,運行中,
Win-170-001,Lont-101-029,2022/10/25,2023/6/30,維度：32.45|經度：123.60,,運行中,
Win-170-001,Lont-101-030,2022/10/25,2023/6/30,維度：32.45|經度：123.61,,運行中,
Win-170-001,Lont-101-031,2022/10/25,2023/6/30,維度：32.45|經度：123.62,,運行中,
Win-170-001,Lont-101-032,2022/10/25,2023/6/30,維度：32.45|經度：123.63,,運行中,
Win-170-001,Lont-101-033,2022/10/25,2023/6/30,維度：32.45|經度：123.64,,運行中,
Win-170-001,Lont-101-034,2022/10/25,2023/6/30,維度：32.45|經度：123.65,,運行中,
Win-170-001,Lont-101-035,2022/10/25,2023/6/30,維度：32.45|經度：123.66,,運行中,
Win-170-001,Lont-101-036,2022/10/25,2023/6/30,維度：32.45|經度：123.67,,運行中,
Win-170-001,Lont-101-037,2022/10/25,2023/6/30,維度：32.45|經度：123.68,,運行中,
Win-170-001,Lont-101-038,2022/10/25,2023/6/30,維度：32.45|經度：123.69,,運行中,
Win-170-001,Lont-101-039,2022/10/25,2023/6/30,維度：32.45|經度：123.70,,運行中,
Win-170-001,Lont-101-040,2022/10/25,2023/6/30,維度：32.45|經度：123.71,,運行中,
Win-170-001,Lont-101-041,2022/10/25,2023/6/30,維度：32.45|經度：123.72,,運行中,
Win-170-001,Lont-101-042,2022/10/25,2023/6/30,維度：32.45|經度：123.73,,運行中,
Win-170-001,Lont-101-043,2022/10/25,2023/6/30,維度：32.45|經度：123.74,,運行中,
Win-170-001,Lont-101-044,2022/10/25,2023/6/30,維度：32.45|經度：123.75,,運行中,
Win-170-001,Lont-101-045,2022/10/25,2023/6/30,維度：32.45|經度：123.76,,運行中,
Win-170-001,Lont-101-046,2022/10/25,2023/6/30,維度：32.45|經度：123.77,,運行中,
Win-170-001,Lont-101-047,2022/10/25,2023/6/30,維度：32.45|經度：123.78,,運行中,
Win-170-001,Lont-101-048,2022/10/25,2023/6/30,維度：32.45|經度：123.79,,運行中,
Win-170-001,Lont-101-049,2022/10/25,2023/6/30,維度：32.45|經度：123.80,,運行中,
Win-170-001,Lont-101-050,2022/10/25,2023/6/30,維度：32.45|經度：123.81,,運行中,
Win-170-001,Lont-101-051,2022/10/25,2023/6/30,維度：32.45|經度：123.82,,運行中,
Win-170-001,Lont-101-052,2022/10/25,2023/6/30,維度：32.45|經度：123.83,,運行中,
Win-170-001,Lont-101-053,2022/10/25,2023/6/30,維度：32.45|經度：123.84,,運行中,
Win-170-001,Lont-101-054,2022/10/25,2023/6/30,維度：32.45|經度：123.85,,運行中,
Win-170-001,Lont-101-055,2022/10/25,2023/6/30,維度：32.45|經度：123.86,,運行中,
Win-170-001,Lont-101-056,2022/10/25,2023/6/30,維度：32.45|經度：123.87,,運行中,
Win-170-001,Lont-101-057,2022/10/25,2023/6/30,維度：32.45|經度：123.88,,運行中,
Win-170-001,Lont-101-058,2022/10/25,2023/6/30,維度：32.45|經度：123.89,,運行中,
Win-170-001,Lont-101-059,2022/10/25,2023/6/30,維度：32.45|經度：123.90,y,運行中,
Win-170-001,Lont-101-060,2022/10/25,2023/6/30,維度：32.45|經度：123.91,y,運行中,
